Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,UWP,,,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),Windows Communication Foundation (WCF),,,Angular,Blazor,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,VB.NET,,TypeScript,JavaScript,Java,C++,Python,Go,,,,C#,,,TypeScript,,,,Python,Go,,,,,,F#,,,Java,C++,Python,Go,,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,none specifically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,,,,,,ASP.NET MVC,ASP.NET Web API,,,,,,,,,,,,,Angular,,,,,,AngularJS,,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,VB.NET,,TypeScript,JavaScript,,,,,,,,,,,,,,,,Go,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Very familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Below expectations,Below expectations,Great idea,make sure that popular project that are supported by .NET Foundation doesn't get left without support (for example: IdentityServer),Approve,Agree,Agree,2,5,4,3,1,6,,,,,,No,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $15,000 and $29,999",51-200,10-Feb,1 to 4 years,,,,,,"Developer, backend",,,"Developer, frontend","Developer, fullstack",,,,,,,,,,,
,,,,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,Mono / Xamarin,,,,,,ASP.NET Blazor,ASP.NET SignalR,,,Xamarin,,,Windows Presentation Foundation (WPF),,,,,,Blazor,,,,,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,None,,Third party,Somewhat familiar,Approve,,,,,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,,.NET 5,Mono / Xamarin,,,Entity Framework,,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,Xamarin,,Windows Forms (WinForms),,,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),,GitHub,,C#,,F#,,,,,,,,Dart,,C#,,F#,,,,,,,,Dart,,,,,,,,,Python,,,,,,Google Cloud Platform,Microsoft Azure,,,,,,Volo.*  ,Very familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,It's independent,Using a tool like Uservoice to would be nice. So that developers would be more effective to shape .NET's future.,Strongly approve,Strongly agree,Strongly agree,6,3,1,2,5,4,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Europe,,Prefer not to say,10-Feb,1,15 to 19 years,,,,,,,,,,"Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,Product manager,"Executive (CXO, VP, etc.)",,
,,Libraries,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,Entity Framework,,,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,Windows Communication Foundation (WCF),,,,,,,None,Not writing single-page apps,,Visual Studio,,,,,,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,,,,TypeScript,,,C++,Python,,Rust,,,,,Microsoft Azure,,,,,,Ajaxtoolkit,Very familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,,,,,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,,ASP.NET WebForms,,,ML.NET,Windows Forms (WinForms),,,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,Monodevelop,C#,VB.NET,,,JavaScript,,,,,,,,C#,VB.NET,,,JavaScript,,,,,,,,C#,,F#,TypeScript,JavaScript,,,,,,,,,,Microsoft Azure,,,,,,"Newtonsoft, odp",Very familiar,Strongly approve,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Steady efforts in inprovement. Listening to users. Conducting webinars. Gathering all the devs.,"There must be some contests, more focus on the knowledge base, encouraging new age and old devs to contribute more.",Approve,Agree,Strongly agree,3,5,6,4,2,1,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,Client doesnt approve,Yes,,Male,,Asia,,"Under $15,000","10,000+",Nov-50,5 to 9 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
,,,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,,,,,,,,ASP.NET Blazor,,,,,,,Windows Presentation Foundation (WPF),,,,,,,,,None,,,Visual Studio,,,,JetBrains Rider,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,Mongo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,Web services / APIs,,,,,,,,,,.NET 5,,,,Entity Framework,,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,,,React,,,,,,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,Microsoft Azure,,,,,,Entity Framework  Automapper  Serilog,Not at all familiar,Neither approve nor disapprove,,,,,,.NET Foundation,,,Met expectations,Met expectations,"Don't know enough about it, except that Jon is in it / running it?","Don't know, sorry. But if I'm not familiar with it, why are you asking so many questions about what I think about it?",Neither approve nor disapprove,Neither agree nor disagree,Neither agree nor disagree,1,4,2,5,6,3,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,n/a,Yes,,Male,,North America,,"Between $75,000 and $99,999",10-Feb,10-Feb,5 to 9 years,Business analyst,Data analyst,,Database adminstrator,Designer,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,"Developer, DevOps",Educator,Site engineer,Researcher,Marketing or sales professional,Product manager,"Executive (CXO, VP, etc.)",Systems admin,
Console apps,,,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,,,,,,Knockoutjs,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,F#,,,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Neither agree nor disagree,5,1,6,3,2,4,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Don't Know,Yes,Yes,Yes,,Don't Know,,Male,,Australia/Oceania,,"Between $75,000 and $99,999",Nov-50,10-Feb,15 to 19 years,Business analyst,,,Database adminstrator,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,Microservices,Mobile apps,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,.NET Core 2.2,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,Xamarin,ML.NET,,,Universal Windows Platform (UWP),,Unity,,Angular,Blazor,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,Python,,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,"EF Core, MediatR, Serilog, FluentAssertion, FluentValidation",Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,Community,Maybe clearer communication how we can help and be helped at .NET Foundation,Neither approve nor disapprove,Agree,Agree,2,5,3,4,6,1,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),Sponsor (financial support),,No,Yes,Yes,Yes,,Yes,,Male,,Other (please specify),Australia,"Between $75,000 and $99,999",Nov-50,10-Feb,10 to 14 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,,,,
,,,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,ASP.NET Razor Pages,,,,,,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,C#,,F#,TypeScript,JavaScript,,,,,,,,,,Microsoft Azure,,,,,,"Serilog, FluentValidation, Mediatr, Magick.NET, EF, Bootstrap",Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,,,,Met expectations,Met expectations,Supporting OSS. This helps the developers/contributors and provides stability that businesses can then rely on.,No complaints,Approve,Agree,Agree,3,2,6,5,1,4,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Don't Know,Yes,Don't Know,Yes,N/A,Yes,N/A,Male,,Australia/Oceania,,"Between $75,000 and $99,999",10-Feb,1,10 to 14 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,.NET 5,,,,,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,ASP.NET WebForms,ASP.NET Razor Pages,,,,,,,,,,,,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,PowerShell,C#,,,TypeScript,JavaScript,,,,,,,,,,Microsoft Azure,,,,,,Newtonsoft.Json  IdentityModel   Microsoft.*,Somewhat familiar,Neither approve nor disapprove,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Below expectations,I like browsing the list of projects supported by the .NET Foundation,,Approve,Agree,Agree,1,6,2,5,3,4,,"Contributor (contributes code, logs issues, etc.)",,,,Don't Know,Yes,Yes,Yes,,Yes,,Male,,Australia/Oceania,,"Over $150,000",51-200,Nov-50,1 to 4 years,,,,,,,,,,,,,"Developer, DevOps",,Site engineer,,,,,Systems admin,
,,Libraries,,,Native desktop apps,,,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,UWP,,Entity Framework,,,,,,,,,,Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,GitHub,,C#,,,,,,,,,,,,C#,,,,,Java,,,,,,Kotlin,,,,TypeScript,,,,,,,,,,,Microsoft Azure,,,,,,Microsoft.Toolkit.Uwp,Somewhat familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,I like how different tutorial and events related to .NET is shared,,Approve,Agree,Agree,5,2,3,6,4,1,,,,,,No,No,Yes,Yes,,Yes,,Male,,Asia,,Prefer not to say,"501-1,000",10-Feb,1 to 4 years,,,,,,,,,,,,"Developer, mobile",,,,,,,,Systems admin,
